year,team,yearly_expected_win_pct,games_played
2018,Arizona Cardinals,0.3576226873316253,16
2018,Atlanta Falcons,0.4587648863336562,16
2018,Baltimore Ravens,0.5361325028864514,17
2018,Buffalo Bills,0.41339865149415944,16
2018,Carolina Panthers,0.49572832124541344,16
2018,Chicago Bears,0.6098067996586881,17
2018,Cincinnati Bengals,0.465021255444616,16
2018,Cleveland Browns,0.43308320025460045,16
2018,Dallas Cowboys,0.5067491387372735,18
2018,Denver Broncos,0.46423404330100226,16
2018,Detroit Lions,0.4199186142593637,16
2018,Green Bay Packers,0.5041785424948321,16
2018,Houston Texans,0.591705533932816,17
2018,Indianapolis Colts,0.5208997951575003,18
2018,Jacksonville Jaguars,0.4180997163764306,16
2018,Kansas City Chiefs,0.6440311366833594,18
2018,Las Vegas Raiders,0.3251559104490794,16
2018,Los Angeles Chargers,0.5991339995886814,18
2018,Los Angeles Rams,0.6690238649510167,19
2018,Miami Dolphins,0.49992701925926325,16
2018,Minnesota Vikings,0.503922323788031,16
2018,New England Patriots,0.5740599715628089,19
2018,New Orleans Saints,0.6604353315381135,18
2018,New York Giants,0.390668407217508,16
2018,New York Jets,0.4228124851832971,16
2018,Philadelphia Eagles,0.46507985571374877,18
2018,Pittsburgh Steelers,0.5536386704107227,16
2018,San Francisco 49ers,0.3734799981980653,16
2018,Seattle Seahawks,0.5468809572821892,17
2018,Tampa Bay Buccaneers,0.4375242406133525,16
2018,Tennessee Titans,0.5104040898443414,16
2018,Washington Commanders,0.5155758101743065,16
2019,Arizona Cardinals,0.2604405182629565,16
2019,Atlanta Falcons,0.36795187915037103,16
2019,Baltimore Ravens,0.6937122775217652,17
2019,Buffalo Bills,0.5323035485285764,17
2019,Carolina Panthers,0.4252943432123422,16
2019,Chicago Bears,0.5628160501739136,16
2019,Cincinnati Bengals,0.2539876351307077,16
2019,Cleveland Browns,0.4826050006121947,16
2019,Dallas Cowboys,0.5921444603727913,16
2019,Denver Broncos,0.35837967875482507,16
2019,Detroit Lions,0.38846314618737865,16
2019,Green Bay Packers,0.5634124484015892,18
2019,Houston Texans,0.5547660330961796,18
2019,Indianapolis Colts,0.612523213042757,16
2019,Jacksonville Jaguars,0.3727287699766412,16
2019,Kansas City Chiefs,0.6636830060408668,19
2019,Las Vegas Raiders,0.3921481678959888,16
2019,Los Angeles Chargers,0.5467337782937612,16
2019,Los Angeles Rams,0.6428205181957566,16
2019,Miami Dolphins,0.2942019899701124,16
2019,Minnesota Vikings,0.5858930982558644,18
2019,New England Patriots,0.7948571638263515,17
2019,New Orleans Saints,0.7319396522381458,17
2019,New York Giants,0.3530403196329552,16
2019,New York Jets,0.32766304676267805,16
2019,Philadelphia Eagles,0.5908159358870753,17
2019,Pittsburgh Steelers,0.5448058417966986,16
2019,San Francisco 49ers,0.5851320222665377,19
2019,Seattle Seahawks,0.6197865399887119,18
2019,Tampa Bay Buccaneers,0.38563588171108304,16
2019,Tennessee Titans,0.48374915583128586,19
2019,Washington Commanders,0.2987500433622194,16
2020,Arizona Cardinals,0.47204945467943055,16
2020,Atlanta Falcons,0.3738997531896337,16
2020,Baltimore Ravens,0.7018569875179292,18
2020,Buffalo Bills,0.5927355923133321,19
2020,Carolina Panthers,0.3186155546445239,16
2020,Chicago Bears,0.5215408442257772,17
2020,Cincinnati Bengals,0.2673953669699632,16
2020,Cleveland Browns,0.5092782152538936,18
2020,Dallas Cowboys,0.4708310233819857,16
2020,Denver Broncos,0.3851744480601011,16
2020,Detroit Lions,0.3154276819127407,16
2020,Green Bay Packers,0.7192509535731582,18
2020,Houston Texans,0.4568342567473197,16
2020,Indianapolis Colts,0.5368519590349344,17
2020,Jacksonville Jaguars,0.2518416658352703,16
2020,Kansas City Chiefs,0.8065155412592478,19
2020,Las Vegas Raiders,0.43735196545288724,16
2020,Los Angeles Chargers,0.37740084618824876,16
2020,Los Angeles Rams,0.5900346794317688,18
2020,Miami Dolphins,0.458095695947799,16
2020,Minnesota Vikings,0.5228106531972591,16
2020,New England Patriots,0.5228136447992977,16
2020,New Orleans Saints,0.7209963283766766,18
2020,New York Giants,0.3017692015390444,16
2020,New York Jets,0.24840216365694837,16
2020,Philadelphia Eagles,0.42877848909917354,16
2020,Pittsburgh Steelers,0.6692819944220749,17
2020,San Francisco 49ers,0.5903866465747037,16
2020,Seattle Seahawks,0.6677397287925843,17
2020,Tampa Bay Buccaneers,0.5423232916896756,20
2020,Tennessee Titans,0.6787394212413019,17
2020,Washington Commanders,0.339034139550651,17
2021,Arizona Cardinals,0.607577254083107,18
2021,Atlanta Falcons,0.4095802006329006,17
2021,Baltimore Ravens,0.6533526409190644,17
2021,Buffalo Bills,0.7075061146773752,19
2021,Carolina Panthers,0.3639374474778644,17
2021,Chicago Bears,0.40224445353562427,17
2021,Cincinnati Bengals,0.42232259388029947,21
2021,Cleveland Browns,0.5305436869840932,17
2021,Dallas Cowboys,0.5758911538718352,18
2021,Denver Broncos,0.4517105171723944,17
2021,Detroit Lions,0.19651802411373814,17
2021,Green Bay Packers,0.7300422600489552,18
2021,Houston Texans,0.2913988323558931,17
2021,Indianapolis Colts,0.5758843630553683,17
2021,Jacksonville Jaguars,0.190970638630476,17
2021,Kansas City Chiefs,0.737780125618595,20
2021,Las Vegas Raiders,0.4529859939606453,18
2021,Los Angeles Chargers,0.5260112135415815,17
2021,Los Angeles Rams,0.6395302188796821,21
2021,Miami Dolphins,0.49234229827876974,17
2021,Minnesota Vikings,0.4492909099998396,17
2021,New England Patriots,0.5314588662359024,18
2021,New Orleans Saints,0.6230368598474134,17
2021,New York Giants,0.31813659650094067,17
2021,New York Jets,0.2621994765102732,17
2021,Philadelphia Eagles,0.421092938406986,18
2021,Pittsburgh Steelers,0.4905724322990264,18
2021,San Francisco 49ers,0.4778691118286459,20
2021,Seattle Seahawks,0.5106621376587653,17
2021,Tampa Bay Buccaneers,0.7914947558710467,19
2021,Tennessee Titans,0.6497294055777659,18
2021,Washington Commanders,0.37799053584144265,17
2022,Arizona Cardinals,0.40333741410993257,17
2022,Atlanta Falcons,0.4055878078785781,17
2022,Baltimore Ravens,0.545046371350379,18
2022,Buffalo Bills,0.7321976487745786,18
2022,Carolina Panthers,0.2902267802282821,17
2022,Chicago Bears,0.3379532210462837,17
2022,Cincinnati Bengals,0.5986649900701606,19
2022,Cleveland Browns,0.43544885836602093,17
2022,Dallas Cowboys,0.6416495767139605,19
2022,Denver Broncos,0.3352846176151753,17
2022,Detroit Lions,0.3540979029014368,17
2022,Green Bay Packers,0.5506792876447716,17
2022,Houston Texans,0.2373213449155152,17
2022,Indianapolis Colts,0.4853542061298324,17
2022,Jacksonville Jaguars,0.30516309769912864,19
2022,Kansas City Chiefs,0.7551961699913285,20
2022,Las Vegas Raiders,0.4201826105591028,17
2022,Los Angeles Chargers,0.5364126611307992,18
2022,Los Angeles Rams,0.5721412376033713,17
2022,Miami Dolphins,0.5542926873147321,18
2022,Minnesota Vikings,0.6497571254489554,18
2022,New England Patriots,0.5131641494420135,17
2022,New Orleans Saints,0.47262139500809125,17
2022,New York Giants,0.39352098176717115,19
2022,New York Jets,0.34793590760162446,17
2022,Philadelphia Eagles,0.6935349758684669,20
2022,Pittsburgh Steelers,0.46535758803075283,17
2022,San Francisco 49ers,0.6877899369646411,20
2022,Seattle Seahawks,0.51515251924187,18
2022,Tampa Bay Buccaneers,0.5953414245636321,18
2022,Tennessee Titans,0.5785584729331313,17
2022,Washington Commanders,0.44892344409809704,17
2023,Arizona Cardinals,0.22239572228612875,17
2023,Atlanta Falcons,0.48162507441007707,17
2023,Baltimore Ravens,0.6262507142330267,19
2023,Buffalo Bills,0.6699540918601141,19
2023,Carolina Panthers,0.3182311845182538,17
2023,Chicago Bears,0.2957563355889339,17
2023,Cincinnati Bengals,0.6202326952305383,17
2023,Cleveland Browns,0.5437412821280446,18
2023,Dallas Cowboys,0.6846755915318584,18
2023,Denver Broncos,0.3937821200224303,17
2023,Detroit Lions,0.6141107688132551,20
2023,Green Bay Packers,0.49761574017290305,19
2023,Houston Texans,0.40562920389999946,19
2023,Indianapolis Colts,0.4312885080648417,17
2023,Jacksonville Jaguars,0.5829415350479766,17
2023,Kansas City Chiefs,0.7400343226459795,21
2023,Las Vegas Raiders,0.4338756723953959,17
2023,Los Angeles Chargers,0.4430974298898657,17
2023,Los Angeles Rams,0.4319754204188194,18
2023,Miami Dolphins,0.5630937890774166,18
2023,Minnesota Vikings,0.5142613258309661,17
2023,New England Patriots,0.3775911624626806,17
2023,New Orleans Saints,0.5283252321386142,17
2023,New York Giants,0.3479542528028246,17
2023,New York Jets,0.3565247221135436,17
2023,Philadelphia Eagles,0.7032459847924748,18
2023,Pittsburgh Steelers,0.524164920915573,18
2023,San Francisco 49ers,0.7230874899091482,20
2023,Seattle Seahawks,0.49490266742947986,17
2023,Tampa Bay Buccaneers,0.48963807568546985,19
2023,Tennessee Titans,0.3934654260811831,17
2023,Washington Commanders,0.3817783195246336,17
2024,Arizona Cardinals,0.4050966217320311,17
2024,Atlanta Falcons,0.45582460255137264,17
2024,Baltimore Ravens,0.6711078029215366,19
2024,Buffalo Bills,0.7029653469752497,20
2024,Carolina Panthers,0.21702303112500693,17
2024,Chicago Bears,0.37577064282124517,17
2024,Cincinnati Bengals,0.5201863443705256,17
2024,Cleveland Browns,0.31846721927029403,17
2024,Dallas Cowboys,0.5158638817479978,17
2024,Denver Broncos,0.48555172411450775,18
2024,Detroit Lions,0.7318095793007613,18
2024,Green Bay Packers,0.6053580351612878,18
2024,Houston Texans,0.5344594627932928,19
2024,Indianapolis Colts,0.46980962276757493,17
2024,Jacksonville Jaguars,0.3833927676324803,17
2024,Kansas City Chiefs,0.8032467692704681,20
2024,Las Vegas Raiders,0.3623554624599631,17
2024,Los Angeles Chargers,0.49528312603148517,18
2024,Los Angeles Rams,0.5302730324859828,19
2024,Miami Dolphins,0.5158988461875189,17
2024,Minnesota Vikings,0.6171666631797429,18
2024,New England Patriots,0.2739471701286309,17
2024,New Orleans Saints,0.46923514569224045,17
2024,New York Giants,0.31217706067168477,17
2024,New York Jets,0.347011103498708,17
2024,Philadelphia Eagles,0.6646487557209975,21
2024,Pittsburgh Steelers,0.5775748016967599,18
2024,San Francisco 49ers,0.5699010254425798,17
2024,Seattle Seahawks,0.5173883780081142,17
2024,Tampa Bay Buccaneers,0.5995951048846516,18
2024,Tennessee Titans,0.30391728206334284,17
2024,Washington Commanders,0.4624769990785712,20
